#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               36,              189079,          876,             3455,            188626,          4200             
1,               39,              239306,          965,             3454,            239797,          4200             
2,               32,              164551,          902,             3413,            163839,          4200             
3,               37,              209225,          903,             3484,            209251,          4200             
4,               25,              121713,          900,             3569,            121046,          4200             
5,               32,              132262,          745,             3545,            131428,          4200             
6,               15,              69478,           898,             3456,            67842,           4200             
7,               19,              76912,           956,             3509,            75433,           4200             
8,               19,              69865,           802,             3513,            68230,           4200             
9,               22,              101555,          871,             3525,            100232,          4200             
10,              17,              69693,           855,             3377,            68186,           4200             
11,              9,               52828,           868,             3534,            50658,           4200             
12,              23,              95977,           872,             3587,            94781,           4200             
13,              30,              185747,          914,             3612,            185128,          4200             
14,              32,              169568,          983,             3452,            169258,          4200             
15,              10,              30957,           840,             3566,            28860,           4200             
16,              16,              67534,           892,             3509,            65960,           4200             
17,              33,              176822,          939,             3444,            176241,          4200             
18,              26,              104265,          865,             3466,            103392,          4200             
19,              7,               18556,           825,             3421,            16433,           4200             
20,              27,              115255,          851,             3487,            114391,          4200             
21,              40,              204323,          906,             3549,            204382,          4200             
22,              17,              79880,           863,             3460,            78487,           4200             
23,              35,              195154,          882,             3523,            194818,          4200             
24,              49,              265357,          893,             3414,            265955,          4109             
25,              29,              144902,          870,             3529,            144210,          4200             
26,              24,              90566,           836,             3473,            89535,           4200             
27,              41,              212822,          840,             3519,            212661,          4200             
28,              30,              161444,          947,             3498,            161046,          4200             
29,              28,              158856,          913,             3383,            158691,          4200             
30,              21,              107440,          903,             3524,            106266,          4200             
31,              23,              94076,           825,             3466,            92943,           4200             
32,              15,              53471,           785,             3514,            51574,           4200             
33,              29,              130509,          869,             3495,            130031,          4200             
34,              25,              104462,          825,             3585,            103281,          4200             
35,              28,              127696,          776,             3347,            127072,          4200             
36,              28,              127429,          874,             3520,            126523,          4200             
37,              17,              58017,           816,             3486,            56276,           4200             
38,              19,              71159,           916,             3478,            70017,           4200             
39,              24,              100748,          875,             3487,            99827,           4200             
40,              10,              26797,           771,             3471,            24708,           4200             
41,              23,              140113,          918,             3365,            139048,          4200             
42,              47,              279703,          789,             3487,            280076,          4200             
43,              32,              152774,          849,             3492,            152085,          4200             
44,              26,              146144,          887,             3464,            145387,          4200             
45,              20,              86213,           803,             3430,            84956,           4200             
46,              38,              206040,          824,             3538,            205883,          4200             
47,              24,              116279,          865,             3580,            115121,          4200             
48,              36,              199259,          831,             3584,            199001,          4200             
49,              23,              85064,           860,             3555,            83953,           4200             
50,              23,              100155,          870,             3567,            98930,           4200             
51,              4,               19466,           788,             3621,            16866,           4200             
52,              32,              188512,          889,             3521,            187888,          4200             
53,              32,              165177,          926,             3554,            164476,          4200             
54,              14,              62646,           807,             3512,            60721,           4200             
55,              25,              104539,          902,             3453,            103405,          4200             
56,              26,              121225,          778,             3460,            120293,          4200             
57,              3,               14938,           788,             3414,            12513,           4200             
58,              44,              245291,          889,             3555,            245691,          4200             
59,              11,              42732,           778,             3404,            40765,           4200             
60,              41,              227527,          853,             3482,            227786,          4200             
61,              8,               34621,           760,             3477,            32436,           4200             
62,              7,               23758,           815,             3461,            21500,           4200             
63,              10,              28583,           827,             3586,            26534,           4200             
64,              31,              170416,          850,             3503,            169785,          4200             
65,              39,              250615,          802,             3452,            250520,          4200             
66,              24,              116274,          838,             3540,            115090,          4200             
67,              22,              98640,           826,             3466,            97423,           4200             
68,              22,              97236,           863,             3458,            96016,           4200             
69,              14,              58327,           740,             3679,            56332,           4200             
70,              44,              258813,          812,             3521,            259148,          4200             
71,              20,              87371,           844,             3530,            85968,           4200             
72,              37,              204700,          881,             3510,            204432,          4200             
73,              39,              232751,          818,             3529,            232704,          4200             
74,              32,              136331,          820,             3615,            135763,          4200             
75,              34,              156599,          749,             3340,            156543,          4200             
76,              22,              89459,           763,             3488,            88062,           4200             
77,              29,              110003,          819,             3520,            109333,          4200             
78,              44,              218126,          840,             3438,            218567,          4200             
79,              18,              72832,           829,             3419,            71358,           4200             
80,              35,              172292,          746,             3544,            171828,          4200             
81,              29,              143549,          764,             3499,            142791,          4200             
82,              17,              68852,           728,             3561,            67067,           4200             
83,              26,              123287,          754,             3469,            122486,          4200             
84,              28,              123395,          701,             3525,            122532,          4200             
85,              41,              212955,          781,             3462,            212776,          4200             
86,              26,              107920,          762,             3364,            107012,          4200             
87,              31,              155265,          797,             3473,            154921,          4200             
88,              30,              163728,          787,             3476,            163033,          4200             
89,              28,              131231,          689,             3398,            130465,          4200             
90,              29,              144381,          784,             3454,            143451,          4200             
91,              24,              101328,          742,             3458,            100163,          4200             
92,              29,              140719,          745,             3437,            139953,          4200             
93,              18,              65727,           755,             3542,            64070,           4200             
94,              20,              58790,           737,             3569,            57316,           4200             
95,              43,              246352,          761,             3553,            246653,          4200             
96,              33,              186083,          764,             3421,            185385,          4200             
97,              23,              115252,          852,             3513,            114008,          4200             
98,              26,              140460,          735,             3492,            139612,          4200             
99,              34,              171256,          826,             3514,            170836,          4200             
100,             29,              142133,          726,             3479,            141492,          4200             
101,             34,              157755,          694,             3454,            157514,          4200             
102,             32,              176253,          765,             3485,            175399,          4200             
103,             38,              202604,          733,             3450,            202470,          4200             
104,             41,              236205,          791,             3521,            236388,          4200             
105,             36,              197643,          747,             3481,            197718,          4200             
106,             29,              128410,          660,             3462,            127194,          4200             
107,             21,              83325,           763,             3481,            81710,           4200             
108,             19,              70621,           749,             3458,            69166,           4200             
109,             30,              149992,          771,             3489,            149183,          4200             
110,             7,               33641,           717,             3573,            31176,           4200             
111,             36,              242335,          748,             3564,            241902,          4200             
112,             40,              219619,          723,             3578,            219384,          4200             
113,             22,              88836,           782,             3508,            87307,           4200             
114,             34,              165587,          821,             3528,            165365,          4200             
115,             39,              174316,          792,             3480,            173870,          4200             
116,             25,              108337,          737,             3469,            107529,          4200             
117,             18,              75164,           705,             3620,            73498,           4200             
