#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               0,               2816,            10316,           3580,            9590,            4200             
1,               0,               2721,            9359,            3540,            8578,            4200             
2,               0,               2632,            10988,           3415,            10244,           4200             
3,               0,               2616,            9872,            3387,            9140,            4200             
4,               0,               2698,            9720,            3432,            9028,            4200             
5,               0,               2716,            10812,           3485,            10074,           4200             
6,               0,               2692,            10128,           3442,            9418,            4200             
7,               0,               2730,            10152,           3510,            9420,            4200             
8,               0,               2678,            10182,           3453,            9438,            4200             
9,               0,               2673,            9655,            3459,            8925,            4200             
10,              0,               2724,            10560,           3513,            9818,            4200             
11,              0,               2854,            9494,            3599,            8790,            4200             
12,              0,               2726,            9641,            3433,            8979,            4200             
13,              0,               2761,            9417,            3511,            8707,            4200             
14,              0,               2727,            10086,           3508,            9347,            4200             
15,              0,               2769,            8475,            3547,            7725,            4200             
16,              0,               2852,            10041,           3669,            9260,            4200             
17,              0,               2696,            10241,           3452,            9510,            4200             
18,              0,               2652,            9374,            3458,            8601,            4200             
19,              0,               2658,            10313,           3452,            9556,            4200             
20,              0,               2739,            9688,            3526,            8940,            4200             
21,              0,               2666,            10901,           3454,            10149,           4200             
22,              0,               2735,            10553,           3546,            9779,            4200             
23,              0,               2691,            8680,            3479,            7922,            4200             
24,              0,               2717,            10714,           3516,            9960,            4200             
25,              0,               2717,            8847,            3471,            8137,            4200             
26,              0,               2731,            7965,            3521,            7206,            4200             
27,              0,               2745,            10461,           3553,            9690,            4200             
28,              0,               2675,            10083,           3478,            9313,            4200             
29,              0,               2774,            10297,           3549,            9557,            4200             
30,              0,               2753,            9822,            3521,            9092,            4200             
31,              0,               2774,            10922,           3534,            10196,           4200             
32,              0,               2723,            9079,            3476,            8361,            4200             
33,              0,               2716,            10899,           3439,            10210,           4200             
34,              0,               2676,            9324,            3477,            8561,            4200             
35,              0,               2654,            9297,            3439,            8552,            4200             
36,              0,               2702,            10112,           3445,            9400,            4200             
37,              0,               2673,            10926,           3457,            10176,           4200             
38,              0,               2812,            9989,            3585,            9245,            4200             
39,              0,               2579,            9754,            3328,            9041,            4200             
40,              0,               2727,            9382,            3490,            8652,            4200             
41,              0,               2768,            9975,            3520,            9257,            4200             
42,              0,               2731,            10403,           3451,            9721,            4200             
43,              0,               2737,            8887,            3470,            8189,            4200             
44,              0,               2729,            10365,           3508,            9610,            4200             
45,              0,               2743,            8200,            3548,            7415,            4200             
46,              0,               2650,            10866,           3438,            10118,           4200             
47,              0,               2770,            9320,            3534,            8594,            4200             
48,              0,               2748,            9234,            3482,            8559,            4200             
49,              0,               2729,            10378,           3498,            9652,            4200             
50,              0,               2674,            9966,            3483,            9190,            4200             
51,              0,               2710,            9649,            3493,            8903,            4200             
52,              0,               2721,            10267,           3498,            9526,            4200             
53,              0,               2707,            10888,           3455,            10175,           4200             
54,              0,               2727,            10604,           3471,            9907,            4200             
55,              0,               2725,            9984,            3490,            9251,            4200             
56,              0,               2799,            10938,           3590,            10181,           4200             
57,              0,               2758,            11079,           3504,            10366,           4200             
58,              0,               2713,            9392,            3503,            8638,            4200             
59,              0,               2771,            10565,           3509,            9865,            4200             
60,              0,               2717,            10923,           3488,            10181,           4200             
61,              0,               2669,            10164,           3394,            9472,            4200             
62,              0,               2806,            10326,           3581,            9590,            4200             
63,              0,               2676,            10574,           3485,            9797,            4200             
64,              0,               2692,            10862,           3470,            10129,           4200             
65,              0,               2669,            9311,            3437,            8578,            4200             
66,              0,               2758,            10683,           3487,            9993,            4200             
67,              0,               2697,            10117,           3449,            9398,            4200             
68,              0,               2732,            8180,            3573,            7377,            4200             
69,              0,               2723,            10908,           3506,            10158,           4200             
70,              0,               2707,            9733,            3495,            8987,            4200             
71,              0,               2741,            10663,           3494,            9957,            4200             
72,              0,               2635,            9840,            3417,            9097,            4200             
73,              0,               2679,            10081,           3468,            9327,            4200             
74,              0,               2716,            10506,           3486,            9764,            4200             
75,              0,               2771,            11061,           3527,            10336,           4200             
76,              0,               2718,            10780,           3507,            10023,           4200             
77,              0,               2724,            10758,           3491,            10033,           4200             
78,              0,               2701,            10992,           3448,            10273,           4200             
79,              0,               2732,            10074,           3505,            9328,            4200             
80,              0,               2727,            10672,           3449,            10001,           4200             
81,              0,               2810,            10478,           3569,            9753,            4200             
82,              0,               2726,            9660,            3529,            8889,            4200             
83,              0,               2777,            10617,           3555,            9878,            4200             
84,              0,               2736,            10888,           3493,            10157,           4200             
