#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               41,              202416,          481,             3423,            202251,          4200             
1,               14,              48693,           501,             3579,            46315,           4200             
2,               29,              116110,          464,             3468,            115017,          4200             
3,               8,               42361,           464,             3443,            39914,           4200             
4,               29,              138460,          520,             3550,            137113,          4200             
5,               15,              61780,           529,             3604,            59575,           4200             
6,               35,              149459,          537,             3446,            148883,          4200             
7,               7,               33204,           509,             3504,            30610,           4200             
8,               16,              60689,           476,             3447,            58828,           4200             
9,               28,              117616,          550,             3505,            116439,          4200             
10,              15,              52837,           526,             3474,            50871,           4200             
11,              15,              56687,           507,             3556,            54533,           4200             
12,              12,              42262,           460,             3515,            39975,           4200             
13,              21,              95538,           522,             3513,            93694,           4200             
14,              10,              27357,           484,             3374,            25093,           4200             
15,              38,              193437,          461,             3475,            193017,          4200             
16,              8,               26228,           418,             3509,            23726,           4200             
17,              27,              119015,          516,             3442,            117678,          4200             
18,              18,              65437,           445,             3534,            63453,           4200             
19,              23,              95429,           551,             3549,            93809,           4200             
20,              19,              62684,           487,             3462,            60990,           4200             
21,              14,              52100,           489,             3519,            50024,           4200             
22,              34,              136600,          487,             3507,            135794,          4200             
23,              25,              110098,          548,             3394,            109083,          4200             
24,              15,              44913,           493,             3477,            43073,           4200             
25,              29,              123501,          500,             3518,            122559,          4200             
26,              8,               26853,           374,             3435,            24303,           4200             
27,              46,              273213,          536,             3537,            273580,          4200             
28,              26,              83266,           445,             3484,            81794,           4200             
29,              19,              45789,           391,             3524,            43743,           4200             
30,              13,              53319,           512,             3508,            50989,           4200             
31,              28,              100009,          464,             3454,            98806,           4200             
32,              44,              232797,          555,             3428,            233136,          4200             
33,              25,              103004,          512,             3573,            101518,          4200             
34,              44,              244260,          575,             3454,            244331,          4200             
35,              28,              97144,           485,             3511,            95745,           4200             
36,              21,              88423,           465,             3515,            86725,           4200             
37,              30,              141354,          575,             3465,            140538,          4200             
38,              11,              50485,           471,             3433,            48227,           4200             
39,              9,               34356,           372,             3569,            31611,           4200             
40,              17,              67572,           552,             3437,            65624,           4200             
41,              17,              68812,           456,             3489,            66957,           4200             
42,              37,              166620,          501,             3468,            166217,          4200             
43,              46,              197471,          528,             3573,            197287,          4200             
44,              23,              88146,           514,             3439,            86610,           4200             
45,              8,               38127,           465,             3496,            35554,           4200             
46,              11,              25166,           458,             3501,            22775,           4200             
47,              16,              55812,           467,             3503,            53946,           4200             
48,              8,               36580,           513,             3444,            34095,           4200             
49,              3,               23207,           469,             3488,            20332,           4200             
50,              13,              45268,           459,             3402,            43205,           4200             
51,              19,              85566,           537,             3564,            83592,           4200             
52,              24,              113988,          535,             3559,            112408,          4200             
53,              27,              110629,          521,             3481,            109593,          4200             
54,              27,              103750,          520,             3555,            102432,          4200             
55,              29,              154314,          509,             3427,            153471,          4200             
56,              12,              34949,           479,             3480,            32630,           4200             
57,              49,              246562,          515,             3260,            246838,          3845             
58,              30,              123111,          468,             3589,            121903,          4200             
59,              33,              126537,          524,             3502,            125822,          4200             
60,              15,              59533,           503,             3378,            57500,           4200             
61,              47,              245630,          584,             3556,            245867,          4200             
62,              11,              39333,           470,             3464,            37080,           4200             
63,              16,              68545,           502,             3504,            66552,           4200             
64,              44,              207226,          545,             3560,            207016,          4200             
65,              6,               17002,           399,             3460,            14321,           4200             
66,              37,              176782,          494,             3533,            176286,          4200             
67,              32,              138146,          530,             3482,            136956,          4200             
68,              13,              57325,           523,             3517,            55136,           4200             
69,              29,              131606,          519,             3525,            130433,          4200             
70,              23,              88715,           439,             3528,            87098,           4200             
71,              32,              124214,          481,             3629,            123204,          4200             
