#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               0,               2758,            10124,           3573,            9344,            4200             
1,               0,               2712,            9835,            3483,            9096,            4200             
2,               0,               2716,            9923,            3454,            9221,            4200             
3,               0,               2614,            8884,            3432,            8105,            4200             
4,               0,               2742,            11231,           3537,            10473,           4200             
5,               0,               2713,            9839,            3492,            9092,            4200             
6,               0,               2797,            10496,           3629,            9709,            4200             
7,               0,               2716,            8617,            3476,            7895,            4200             
8,               0,               2690,            10140,           3428,            9434,            4200             
9,               0,               2725,            11088,           3484,            10366,           4200             
10,              0,               2749,            10769,           3466,            10087,           4200             
11,              0,               2680,            10146,           3446,            9409,            4200             
12,              0,               2711,            9630,            3498,            8872,            4200             
13,              0,               2746,            10070,           3477,            9375,            4200             
14,              0,               2605,            10483,           3402,            9721,            4200             
15,              0,               2724,            9824,            3501,            9090,            4200             
16,              0,               2690,            8726,            3402,            8057,            4200             
17,              0,               2778,            10292,           3548,            9561,            4200             
18,              0,               2727,            10133,           3534,            9359,            4200             
19,              0,               2713,            10705,           3485,            9954,            4200             
20,              0,               2653,            10208,           3400,            9502,            4200             
21,              0,               2713,            11141,           3490,            10405,           4200             
22,              0,               2737,            9465,            3508,            8734,            4200             
23,              0,               2758,            10358,           3548,            9602,            4200             
24,              0,               2692,            10138,           3443,            9422,            4200             
25,              0,               2645,            11247,           3467,            10463,           4200             
26,              0,               2680,            10244,           3431,            9527,            4200             
27,              0,               2748,            10110,           3492,            9400,            4200             
28,              0,               2700,            10683,           3415,            10003,           4200             
29,              0,               2751,            8790,            3465,            8114,            4200             
30,              0,               2751,            10094,           3553,            9325,            4200             
31,              0,               2771,            10579,           3536,            9858,            4200             
32,              0,               2772,            10361,           3568,            9602,            4200             
33,              0,               2650,            10761,           3413,            10032,           4200             
34,              0,               2749,            10728,           3535,            9974,            4200             
35,              0,               2728,            10678,           3454,            9989,            4200             
36,              0,               2808,            10610,           3579,            9862,            4200             
37,              0,               2646,            9852,            3393,            9142,            4200             
38,              0,               2719,            10208,           3511,            9467,            4200             
39,              0,               2692,            10609,           3506,            9819,            4200             
40,              0,               2687,            9959,            3438,            9248,            4200             
41,              0,               2686,            9581,            3411,            8890,            4200             
42,              0,               2716,            9151,            3470,            8436,            4200             
43,              0,               2655,            10516,           3432,            9751,            4200             
44,              0,               2702,            10700,           3466,            9978,            4200             
45,              0,               2729,            9801,            3468,            9097,            4200             
46,              0,               2784,            10925,           3511,            10240,           4200             
47,              0,               2735,            10353,           3545,            9574,            4200             
48,              0,               2755,            9426,            3555,            8664,            4200             
49,              0,               2786,            10745,           3532,            10043,           4200             
50,              0,               2742,            10478,           3491,            9784,            4200             
51,              0,               2730,            10143,           3523,            9387,            4200             
52,              0,               2696,            10337,           3457,            9610,            4200             
53,              0,               2656,            11218,           3440,            10471,           4200             
54,              0,               2752,            9959,            3529,            9215,            4200             
55,              0,               2805,            10144,           3585,            9393,            4200             
56,              0,               2741,            10746,           3528,            9987,            4200             
57,              0,               2746,            10333,           3533,            9585,            4200             
58,              0,               2714,            10191,           3529,            9426,            4200             
59,              0,               2654,            10395,           3435,            9649,            4200             
60,              0,               2708,            8945,            3519,            8180,            4200             
61,              0,               2794,            8765,            3580,            8014,            4200             
62,              0,               2693,            10042,           3443,            9329,            4200             
63,              0,               2756,            10198,           3579,            9417,            4200             
64,              0,               2755,            9256,            3517,            8521,            4200             
65,              0,               2685,            10955,           3428,            10245,           4200             
66,              0,               2840,            9716,            3626,            8968,            4200             
67,              0,               2744,            10160,           3525,            9422,            4200             
68,              0,               2696,            11141,           3480,            10394,           4200             
69,              0,               2738,            10407,           3485,            9697,            4200             
70,              0,               2707,            9814,            3477,            9083,            4200             
71,              0,               2772,            10818,           3572,            10054,           4200             
72,              0,               2718,            10120,           3502,            9375,            4200             
73,              0,               2663,            10090,           3418,            9381,            4200             
74,              0,               2743,            9740,            3499,            9026,            4200             
75,              0,               2842,            10185,           3549,            9520,            4200             
76,              0,               2762,            10807,           3486,            10134,           4200             
77,              0,               2762,            10299,           3538,            9561,            4200             
78,              0,               2736,            10924,           3437,            10263,           4200             
79,              0,               2679,            10383,           3476,            9616,            4200             
80,              0,               2809,            9996,            3602,            9239,            4200             
81,              0,               2712,            9322,            3471,            8597,            4200             
82,              0,               2798,            9894,            3557,            9172,            4200             
83,              0,               2733,            10639,           3495,            9932,            4200             
84,              0,               2726,            9964,            3517,            9207,            4200             
85,              0,               2672,            8376,            3417,            7672,            4200             
86,              0,               2781,            9937,            3493,            9261,            4200             
87,              0,               2762,            10289,           3577,            9514,            4200             
88,              0,               2696,            9251,            3496,            8479,            4200             
89,              0,               2721,            10297,           3477,            9577,            4200             
90,              0,               2647,            11274,           3401,            10558,           4200             
91,              0,               2752,            10365,           3524,            9636,            4200             
92,              0,               2816,            10459,           3577,            9730,            4200             
93,              0,               2768,            10372,           3513,            9663,            4200             
94,              0,               2685,            9571,            3486,            8818,            4200             
95,              0,               2717,            9269,            3534,            8491,            4200             
96,              0,               2735,            10531,           3548,            9748,            4200             
97,              0,               2761,            8854,            3542,            8101,            4200             
98,              0,               2699,            9860,            3481,            9113,            4200             
99,              0,               2707,            9587,            3491,            8842,            4200             
100,             0,               2647,            10774,           3481,            9978,            4200             
101,             0,               2615,            10349,           3362,            9639,            4200             
102,             0,               2753,            10627,           3565,            9857,            4200             
103,             0,               2679,            10609,           3427,            9901,            4200             
104,             0,               2779,            10272,           3537,            9551,            4200             
105,             0,               2739,            10038,           3448,            9369,            4200             
106,             0,               2685,            10570,           3491,            9793,            4200             
107,             0,               2725,            10222,           3453,            9523,            4200             
108,             0,               2764,            10438,           3543,            9699,            4200             
109,             0,               2671,            9975,            3380,            9290,            4200             
110,             0,               2748,            10524,           3585,            9707,            4200             
111,             0,               2699,            9741,            3496,            8984,            4200             
112,             0,               2783,            11002,           3622,            10200,           4200             
113,             0,               2671,            8954,            3442,            8207,            4200             
114,             0,               2694,            10096,           3502,            9328,            4200             
115,             0,               2602,            10406,           3334,            9712,            4200             
116,             0,               2669,            9927,            3430,            9203,            4200             
117,             0,               2639,            9730,            3413,            8983,            4200             
118,             0,               2678,            6329,            3421,            5625,            4200             
119,             0,               2769,            10818,           3531,            10095,           4200             
120,             0,               2712,            10217,           3517,            9461,            4200             
121,             0,               2735,            10849,           3495,            10128,           4200             
122,             0,               2702,            10371,           3484,            9630,            4200             
123,             0,               2683,            9702,            3452,            8972,            4200             
124,             0,               2751,            10503,           3560,            9731,            4200             
125,             0,               2738,            8471,            3515,            7720,            4200             
126,             0,               2678,            10286,           3445,            9570,            4200             
127,             0,               2752,            9091,            3513,            8366,            4200             
128,             0,               2657,            10000,           3393,            9298,            4200             
129,             0,               2632,            9513,            3438,            8744,            4200             
130,             0,               2810,            9225,            3590,            8474,            4200             
131,             0,               2850,            10692,           3607,            9970,            4200             
132,             0,               2632,            10514,           3375,            9814,            4200             
133,             0,               2815,            10346,           3558,            9635,            4200             
134,             0,               2737,            11408,           3556,            10630,           4200             
135,             0,               2668,            9786,            3441,            9055,            4200             
136,             0,               2720,            10552,           3466,            9834,            4200             
137,             0,               2719,            9092,            3461,            8385,            4200             
138,             0,               2697,            10008,           3440,            9301,            4200             
139,             0,               2804,            9560,            3630,            8765,            4200             
140,             0,               2685,            10422,           3421,            9721,            4200             
141,             0,               2642,            11072,           3426,            10327,           4200             
142,             0,               2749,            10731,           3543,            9970,            4200             
143,             0,               2657,            9555,            3407,            8842,            4200             
144,             0,               2702,            9559,            3433,            8864,            4200             
145,             0,               2684,            10110,           3431,            9408,            4200             
146,             0,               2769,            9985,            3531,            9258,            4200             
147,             0,               2752,            10548,           3525,            9787,            4200             
148,             0,               2758,            10374,           3569,            9594,            4200             
149,             0,               2733,            10178,           3491,            9460,            4200             
150,             0,               2718,            10918,           3455,            10216,           4200             
151,             0,               2769,            10610,           3570,            9838,            4200             
152,             0,               2657,            10327,           3416,            9609,            4200             
153,             0,               2705,            10286,           3484,            9541,            4200             
154,             0,               2726,            11088,           3527,            10325,           4200             
155,             0,               2666,            9290,            3460,            8526,            4200             
156,             0,               2705,            10399,           3459,            9676,            4200             
157,             0,               2788,            10787,           3536,            10077,           4200             
158,             0,               2717,            10215,           3480,            9486,            4200             
159,             0,               2727,            10592,           3494,            9868,            4200             
160,             0,               2751,            10101,           3539,            9352,            4200             
161,             0,               2677,            10182,           3482,            9411,            4200             
162,             0,               2784,            10316,           3580,            9553,            4200             
163,             0,               2798,            9455,            3630,            8658,            4200             
164,             0,               2726,            8457,            3512,            7708,            4200             
165,             0,               2694,            10297,           3478,            9559,            4200             
166,             0,               2709,            9971,            3482,            9238,            4200             
167,             0,               2748,            9342,            3512,            8623,            4200             
168,             0,               2682,            10096,           3498,            9321,            4200             
169,             0,               2780,            8568,            3504,            7903,            4200             
170,             0,               2738,            8385,            3520,            7636,            4200             
171,             0,               2716,            10608,           3490,            9872,            4200             
172,             0,               2753,            10098,           3529,            9364,            4200             
173,             0,               2719,            9850,            3492,            9123,            4200             
174,             0,               2727,            10369,           3517,            9624,            4200             
175,             0,               2663,            10206,           3442,            9461,            4200             
176,             0,               2723,            10031,           3504,            9289,            4200             
177,             0,               2749,            9558,            3569,            8767,            4200             
178,             0,               2650,            10470,           3441,            9721,            4200             
179,             0,               2712,            9913,            3480,            9188,            4200             
