#bf edge,        n_deaths,        n_detachments,   n_immigrations,  n_replications   
0,               2768,            7913,            3534,            7186             
0,               2712,            8208,            3537,            7435             
0,               2700,            9008,            3468,            8259             
0,               2687,            7751,            3476,            6989             
0,               2770,            7708,            3558,            6933             
0,               2600,            6876,            3342,            6169             
0,               2677,            8085,            3425,            7367             
0,               2653,            9560,            3403,            8853             
0,               2704,            8453,            3447,            7746             
0,               2680,            7401,            3484,            6639             
0,               2647,            9163,            3354,            8494             
0,               2664,            9372,            3399,            8677             
0,               2690,            8625,            3429,            7922             
0,               2799,            9635,            3551,            8919             
0,               2754,            9043,            3539,            8296             
0,               2636,            9549,            3449,            8764             
0,               2759,            9708,            3524,            8969             
0,               2715,            9026,            3478,            8313             
0,               2744,            8408,            3522,            7679             
0,               2740,            7409,            3484,            6712             
0,               2603,            7498,            3376,            6754             
0,               2704,            8122,            3483,            7378             
0,               2739,            8358,            3559,            7568             
0,               2794,            9695,            3603,            8919             
0,               2706,            6666,            3486,            5922             
0,               2727,            9022,            3555,            8223             
0,               2772,            7648,            3560,            6898             
0,               2676,            7987,            3483,            7209             
0,               2717,            9576,            3506,            8815             
0,               2608,            8471,            3345,            7765             
0,               2686,            9409,            3498,            8630             
0,               2698,            8462,            3512,            7680             
0,               2734,            7257,            3578,            6452             
0,               2758,            9487,            3562,            8719             
0,               2732,            8495,            3489,            7766             
0,               2795,            5798,            3608,            5019             
0,               2720,            7654,            3482,            6950             
0,               2708,            9040,            3467,            8313             
0,               2687,            7449,            3463,            6711             
0,               2695,            8884,            3423,            8176             
0,               2661,            8424,            3456,            7660             
0,               2749,            7255,            3513,            6532             
0,               2667,            8509,            3433,            7780             
0,               2754,            6861,            3554,            6099             
0,               2768,            5530,            3559,            4768             
0,               2785,            9091,            3573,            8340             
0,               2792,            3471,            3576,            2719             
0,               2636,            8255,            3408,            7514             
0,               2673,            9308,            3463,            8543             
0,               2736,            7630,            3533,            6858             
0,               2709,            8723,            3472,            7986             
0,               2719,            7921,            3486,            7194             
0,               2780,            7466,            3588,            6696             
0,               2704,            8177,            3445,            7467             
0,               2715,            7649,            3489,            6905             
0,               2598,            8825,            3422,            8036             
0,               2628,            8008,            3420,            7248             
0,               2619,            9923,            3472,            9101             
0,               2751,            6285,            3517,            5548             
0,               2752,            8013,            3532,            7265             
0,               2752,            8896,            3517,            8164             
0,               2653,            6740,            3438,            5980             
0,               2678,            9106,            3434,            8382             
0,               2684,            9320,            3473,            8567             
0,               2714,            8893,            3486,            8151             
35,              11573,           10114,           3518,            22541            
0,               2675,            9434,            3467,            8676             
0,               2815,            8081,            3596,            7318             
0,               2783,            7880,            3563,            7146             
0,               2693,            9720,            3438,            9015             
0,               2742,            8638,            3562,            7886             
0,               2783,            6791,            3560,            6027             
0,               2730,            7098,            3517,            6351             
0,               2657,            7813,            3390,            7130             
0,               2586,            8322,            3351,            7601             
0,               2747,            8866,            3513,            8126             
0,               2662,            9435,            3448,            8698             
0,               2762,            8544,            3486,            7843             
0,               2710,            8873,            3420,            8195             
0,               2735,            8007,            3512,            7264             
0,               2729,            6398,            3430,            5719             
0,               2654,            9597,            3431,            8861             
0,               2703,            9904,            3494,            9161             
0,               2647,            10091,           3415,            9358             
0,               2770,            8240,            3542,            7506             
0,               2770,            8328,            3540,            7580             
0,               2779,            9534,            3519,            8847             
0,               2664,            5194,            3438,            4462             
0,               2643,            6914,            3420,            6166             
0,               2694,            7563,            3480,            6801             
0,               2687,            6524,            3464,            5769             
0,               2685,            8172,            3437,            7449             
0,               2758,            7383,            3526,            6654             
0,               2654,            5487,            3456,            4720             
0,               2673,            9145,            3461,            8402             
0,               2675,            8080,            3464,            7323             
23,              6501,            8841,            3467,            14721            
0,               2710,            7548,            3497,            6799             
0,               2708,            9525,            3456,            8812             
0,               2715,            9480,            3483,            8756             
0,               2643,            8084,            3370,            7389             
0,               2638,            8333,            3393,            7625             
0,               2764,            8489,            3483,            7808             
0,               2728,            8814,            3486,            8089             
0,               2747,            6469,            3511,            5743             
0,               2689,            5565,            3426,            4863             
0,               2686,            8775,            3445,            8046             
0,               2730,            8532,            3511,            7784             
0,               2711,            7222,            3398,            6584             
0,               2659,            7189,            3435,            6448             
0,               2719,            9433,            3447,            8740             
0,               2790,            7901,            3662,            7061             
0,               2730,            9256,            3481,            8537             
0,               2686,            8521,            3464,            7782             
0,               2701,            8182,            3447,            7473             
0,               2592,            7893,            3358,            7160             
0,               2766,            6379,            3570,            5608             
0,               2729,            8101,            3480,            7363             
0,               2721,            9352,            3496,            8618             
0,               2700,            8916,            3457,            8178             
0,               2647,            8918,            3412,            8181             
0,               2736,            8203,            3514,            7447             
0,               2702,            6213,            3456,            5500             
0,               2788,            7847,            3573,            7092             
0,               2849,            9125,            3659,            8348             
0,               2750,            9045,            3485,            8346             
0,               2686,            8127,            3458,            7397             
0,               2652,            9427,            3465,            8657             
0,               2644,            10442,           3420,            9712             
0,               2750,            7065,            3496,            6348             
0,               2737,            5980,            3510,            5228             
0,               2704,            8758,            3437,            8057             
0,               2704,            8460,            3449,            7756             
0,               2769,            6303,            3532,            5572             
0,               2653,            6877,            3381,            6188             
0,               2646,            9031,            3415,            8296             
0,               2713,            8957,            3477,            8232             
0,               2672,            9050,            3444,            8310             
0,               2777,            7764,            3538,            7037             
0,               2683,            6659,            3484,            5876             
0,               2699,            8562,            3515,            7778             
0,               2733,            6432,            3481,            5717             
0,               2752,            8698,            3496,            7985             
0,               2683,            8389,            3451,            7655             
0,               2647,            8262,            3403,            7549             
0,               2721,            8257,            3464,            7542             
0,               2735,            9508,            3547,            8737             
0,               2676,            8892,            3477,            8127             
0,               2697,            10249,           3485,            9499             
0,               2746,            8480,            3510,            7766             
0,               2769,            7331,            3560,            6567             
0,               2727,            7699,            3447,            7009             
0,               2730,            6308,            3492,            5574             
0,               2661,            9808,            3402,            9103             
0,               2737,            7659,            3474,            6954             
0,               2646,            9437,            3469,            8659             
0,               2757,            9949,            3541,            9200             
0,               2723,            8928,            3444,            8234             
0,               2798,            8054,            3587,            7300             
0,               2664,            7387,            3480,            6605             
0,               2662,            8049,            3441,            7299             
0,               2685,            5540,            3438,            4810             
0,               2708,            10234,           3483,            9491             
0,               2748,            9059,            3513,            8321             
0,               2715,            7883,            3519,            7120             
0,               2775,            7200,            3560,            6458             
0,               2679,            8812,            3445,            8075             
0,               2641,            6298,            3390,            5584             
0,               2714,            7139,            3466,            6429             
0,               2794,            7908,            3601,            7133             
0,               2707,            9575,            3518,            8803             
0,               2637,            9204,            3413,            8463             
0,               2743,            9434,            3513,            8693             
0,               2716,            7698,            3506,            6938             
0,               2710,            8001,            3522,            7222             
0,               2656,            7546,            3447,            6790             
0,               2785,            7697,            3579,            6944             
0,               2799,            7847,            3545,            7135             
0,               2688,            7855,            3515,            7073             
0,               2730,            9240,            3494,            8517             
