#det rate,   thickness,  thck errs,  pop size,   pop errs    
1.0000E-04, 1.1250E+00, 4.4843E-01, 3.8958E+01, 4.6265E+01  
1.3475E-03, 1.2917E+00, 9.0790E-01, 5.0167E+01, 9.6301E+01  
2.5950E-03, 1.0833E+00, 4.0825E-01, 3.3625E+01, 4.0483E+01  
3.8425E-03, 1.2083E+00, 1.0206E+00, 3.9583E+01, 9.8628E+01  
5.0900E-03, 1.0000E+00, 0.0000E+00, 1.2667E+01, 4.0931E+00  
6.3375E-03, 1.0000E+00, 0.0000E+00, 1.0042E+01, 3.1413E+00  
7.5850E-03, 1.0000E+00, 0.0000E+00, 1.3833E+01, 8.1490E+00  
8.8325E-03, 1.0000E+00, 0.0000E+00, 9.4167E+00, 2.7333E+00  
1.0080E-02, 1.0000E+00, 0.0000E+00, 1.2125E+01, 9.5658E+00  
1.1327E-02, 1.0000E+00, 0.0000E+00, 8.7500E+00, 2.9964E+00  
1.2575E-02, 1.0000E+00, 0.0000E+00, 9.0417E+00, 3.0995E+00  
1.3822E-02, 1.0000E+00, 0.0000E+00, 7.7917E+00, 2.7343E+00  
1.5070E-02, 1.0000E+00, 0.0000E+00, 7.7500E+00, 2.0483E+00  
1.6318E-02, 1.0000E+00, 0.0000E+00, 7.3750E+00, 1.8133E+00  
1.7565E-02, 1.0000E+00, 0.0000E+00, 8.4583E+00, 3.7530E+00  
1.8813E-02, 1.0000E+00, 0.0000E+00, 8.2083E+00, 2.7659E+00  
2.0060E-02, 1.0000E+00, 0.0000E+00, 9.2083E+00, 2.6206E+00  
2.1307E-02, 1.0000E+00, 0.0000E+00, 7.8750E+00, 2.8024E+00  
2.2555E-02, 1.0000E+00, 0.0000E+00, 8.7917E+00, 3.9118E+00  
2.3802E-02, 1.0000E+00, 0.0000E+00, 9.4583E+00, 2.3402E+00  
2.5050E-02, 1.0000E+00, 0.0000E+00, 8.3750E+00, 2.3556E+00  
2.6297E-02, 1.0000E+00, 0.0000E+00, 8.3750E+00, 3.2944E+00  
2.7545E-02, 1.0000E+00, 0.0000E+00, 7.5417E+00, 2.8434E+00  
2.8793E-02, 1.0000E+00, 0.0000E+00, 7.8333E+00, 3.4220E+00  
3.0040E-02, 1.0000E+00, 0.0000E+00, 9.1667E+00, 2.4613E+00  
3.1287E-02, 1.0000E+00, 0.0000E+00, 8.3333E+00, 2.9587E+00  
3.2535E-02, 1.0000E+00, 0.0000E+00, 7.5833E+00, 3.0775E+00  
3.3783E-02, 1.0000E+00, 0.0000E+00, 9.0417E+00, 2.7894E+00  
3.5030E-02, 1.0000E+00, 0.0000E+00, 9.1667E+00, 2.6485E+00  
3.6278E-02, 1.0000E+00, 0.0000E+00, 8.7917E+00, 3.8219E+00  
3.7525E-02, 1.0000E+00, 0.0000E+00, 8.0417E+00, 2.2550E+00  
3.8773E-02, 1.0000E+00, 0.0000E+00, 8.9583E+00, 2.2357E+00  
4.0020E-02, 1.0000E+00, 0.0000E+00, 9.6667E+00, 4.0289E+00  
4.1268E-02, 1.0000E+00, 0.0000E+00, 8.6667E+00, 4.4003E+00  
4.2515E-02, 1.0000E+00, 0.0000E+00, 8.8750E+00, 2.4194E+00  
4.3763E-02, 1.0000E+00, 0.0000E+00, 8.2500E+00, 2.4002E+00  
4.5010E-02, 1.0000E+00, 0.0000E+00, 7.9583E+00, 2.6454E+00  
4.6258E-02, 1.0000E+00, 0.0000E+00, 9.1250E+00, 3.2479E+00  
4.7505E-02, 1.0000E+00, 0.0000E+00, 9.0417E+00, 4.3885E+00  
4.8753E-02, 1.0000E+00, 0.0000E+00, 8.7917E+00, 3.3748E+00  
5.0000E-02, 1.0000E+00, 0.0000E+00, 8.8750E+00, 3.2479E+00  
