#tau,            K*,              det_rate,        thickness,       thick_stDev,     n_deaths,        n_detachments,   n_immigrations,  n_replications,  n_tau_halves     
5.0000E-02,      4.0000E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      6.4960E+02,      2.2133E+01,      9.7333E+01,      1.2715E+03,      2.6267E+01       
5.0000E-02,      4.0000E-01,      2.1000E-03,      9.0000E+00,      0.0000E+00,      6.2760E+02,      2.1667E+01,      9.6533E+01,      1.2411E+03,      2.4600E+01       
5.0000E-02,      4.0000E-01,      2.2000E-03,      9.0000E+00,      0.0000E+00,      6.6980E+02,      2.1533E+01,      1.0160E+02,      1.2852E+03,      2.6067E+01       
5.0000E-02,      4.0000E-01,      2.3000E-03,      9.0000E+00,      0.0000E+00,      6.2667E+02,      2.9667E+01,      9.6800E+01,      1.2531E+03,      2.6933E+01       
5.0000E-02,      4.0000E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      6.4727E+02,      3.0133E+01,      1.0313E+02,      1.2747E+03,      2.4200E+01       
5.0000E-02,      4.0000E-01,      2.5000E-03,      9.0000E+00,      0.0000E+00,      6.8280E+02,      3.5400E+01,      1.0613E+02,      1.3205E+03,      2.8267E+01       
5.0000E-02,      4.0000E-01,      2.6000E-03,      9.0000E+00,      0.0000E+00,      6.4107E+02,      3.1600E+01,      1.0147E+02,      1.2629E+03,      2.3667E+01       
5.0000E-02,      4.0000E-01,      2.7000E-03,      9.0000E+00,      0.0000E+00,      6.5513E+02,      3.0467E+01,      1.0160E+02,      1.2738E+03,      2.7067E+01       
5.0000E-02,      4.0000E-01,      2.8000E-03,      9.0000E+00,      0.0000E+00,      6.5073E+02,      3.3000E+01,      1.0513E+02,      1.2717E+03,      2.5000E+01       
5.0000E-02,      4.0000E-01,      2.9000E-03,      9.0000E+00,      0.0000E+00,      6.3760E+02,      3.1133E+01,      9.8600E+01,      1.2697E+03,      2.9600E+01       
5.0000E-02,      4.0000E-01,      3.0000E-03,      9.0000E+00,      0.0000E+00,      6.4720E+02,      3.3333E+01,      9.4467E+01,      1.2833E+03,      2.5600E+01       
5.0000E-02,      4.0000E-01,      3.1000E-03,      9.0000E+00,      0.0000E+00,      6.1840E+02,      3.0333E+01,      9.8200E+01,      1.2418E+03,      2.6333E+01       
5.0000E-02,      4.0000E-01,      3.2000E-03,      9.0000E+00,      0.0000E+00,      6.6387E+02,      2.9600E+01,      9.9933E+01,      1.2930E+03,      2.6667E+01       
5.0000E-02,      4.0000E-01,      3.3000E-03,      9.0000E+00,      0.0000E+00,      6.3420E+02,      2.8733E+01,      9.7200E+01,      1.2729E+03,      2.7667E+01       
5.0000E-02,      4.0000E-01,      3.4000E-03,      9.0000E+00,      0.0000E+00,      6.2853E+02,      2.9067E+01,      9.9133E+01,      1.2600E+03,      2.5133E+01       
5.0000E-02,      4.0000E-01,      3.5000E-03,      9.0000E+00,      0.0000E+00,      6.2093E+02,      3.2067E+01,      1.0087E+02,      1.2521E+03,      2.5067E+01       
5.0000E-02,      4.0000E-01,      3.6000E-03,      9.0000E+00,      0.0000E+00,      6.3453E+02,      3.1067E+01,      9.9933E+01,      1.2679E+03,      2.5333E+01       
5.0000E-02,      4.0000E-01,      3.7000E-03,      9.0000E+00,      0.0000E+00,      6.2600E+02,      3.2667E+01,      9.9667E+01,      1.2467E+03,      2.4467E+01       
5.0000E-02,      4.0000E-01,      3.8000E-03,      9.0000E+00,      0.0000E+00,      6.7273E+02,      3.2200E+01,      9.9400E+01,      1.3114E+03,      2.7200E+01       
5.0000E-02,      4.0000E-01,      3.9000E-03,      9.0000E+00,      0.0000E+00,      6.5253E+02,      2.9600E+01,      1.0213E+02,      1.2816E+03,      2.6533E+01       
5.0000E-02,      4.0000E-01,      4.0000E-03,      9.0000E+00,      0.0000E+00,      6.2367E+02,      2.9600E+01,      1.0433E+02,      1.2421E+03,      2.7667E+01       
