#K,              det_rate,        thickness,       thick_stDev,     n_deaths,        n_detachments,   n_immigrations,  n_replications   
4.0000E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      1.5243E+03,      1.9333E+01,      1.2833E+02,      1.8847E+03       
4.0000E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      1.4417E+03,      2.1000E+01,      1.1700E+02,      1.7837E+03       
4.0000E-01,      2.8000E-03,      9.0000E+00,      0.0000E+00,      1.6917E+03,      5.6667E+01,      1.4567E+02,      2.0657E+03       
4.0000E-01,      3.2000E-03,      9.0000E+00,      0.0000E+00,      1.4083E+03,      4.3333E+01,      1.2533E+02,      1.7780E+03       
4.0000E-01,      3.6000E-03,      9.0000E+00,      0.0000E+00,      1.6457E+03,      4.9333E+01,      1.3933E+02,      2.0420E+03       
5.0000E-01,      2.0000E-03,      7.3333E+00,      1.1547E+00,      2.3340E+03,      5.2000E+01,      2.1500E+02,      2.6157E+03       
5.0000E-01,      2.4000E-03,      7.6667E+00,      5.7735E-01,      2.5287E+03,      5.1667E+01,      1.9433E+02,      2.8140E+03       
5.0000E-01,      2.8000E-03,      7.0000E+00,      0.0000E+00,      2.3080E+03,      1.0900E+02,      2.0700E+02,      2.6050E+03       
5.0000E-01,      3.2000E-03,      4.3333E+00,      5.7735E-01,      1.3650E+03,      1.2567E+02,      1.8433E+02,      1.5383E+03       
5.0000E-01,      3.6000E-03,      5.0000E+00,      1.0000E+00,      1.7657E+03,      1.1533E+02,      2.0533E+02,      1.9813E+03       
6.0000E-01,      2.0000E-03,      3.0000E+00,      1.0000E+00,      1.3457E+03,      6.9000E+01,      1.9133E+02,      1.4410E+03       
6.0000E-01,      2.4000E-03,      3.3333E+00,      5.7735E-01,      1.5323E+03,      6.9333E+01,      2.1433E+02,      1.6513E+03       
6.0000E-01,      2.8000E-03,      2.3333E+00,      1.5275E+00,      1.2017E+03,      1.3067E+02,      2.0133E+02,      1.3060E+03       
6.0000E-01,      3.2000E-03,      2.0000E+00,      1.7321E+00,      1.1153E+03,      1.3500E+02,      2.0167E+02,      1.2020E+03       
6.0000E-01,      3.6000E-03,      2.0000E+00,      1.7321E+00,      1.0813E+03,      1.3833E+02,      2.0233E+02,      1.1927E+03       
7.0000E-01,      2.0000E-03,      2.0000E+00,      1.0000E+00,      1.0973E+03,      8.0667E+01,      2.0567E+02,      1.1390E+03       
7.0000E-01,      2.4000E-03,      1.6667E+00,      5.7735E-01,      1.1293E+03,      7.2667E+01,      2.0767E+02,      1.1673E+03       
7.0000E-01,      2.8000E-03,      1.0000E+00,      1.0000E+00,      8.0433E+02,      1.6133E+02,      2.0000E+02,      8.6733E+02       
7.0000E-01,      3.2000E-03,      1.3333E+00,      1.5275E+00,      9.3200E+02,      1.6200E+02,      2.0033E+02,      1.0217E+03       
7.0000E-01,      3.6000E-03,      1.0000E+00,      0.0000E+00,      7.3067E+02,      1.4600E+02,      2.1400E+02,      7.8167E+02       
8.0000E-01,      2.0000E-03,      1.3333E+00,      1.1547E+00,      1.1900E+03,      7.9667E+01,      2.0467E+02,      1.2057E+03       
8.0000E-01,      2.4000E-03,      1.3333E+00,      1.5275E+00,      1.2183E+03,      9.0000E+01,      2.0867E+02,      1.2507E+03       
8.0000E-01,      2.8000E-03,      6.6667E-01,      5.7735E-01,      7.0967E+02,      1.5700E+02,      2.0433E+02,      7.4733E+02       
8.0000E-01,      3.2000E-03,      1.0000E+00,      0.0000E+00,      9.2933E+02,      1.7133E+02,      1.9000E+02,      1.0520E+03       
8.0000E-01,      3.6000E-03,      1.0000E+00,      0.0000E+00,      9.3567E+02,      1.5100E+02,      2.0167E+02,      9.9133E+02       
9.0000E-01,      2.0000E-03,      1.0000E+00,      0.0000E+00,      8.6500E+02,      8.9333E+01,      1.9633E+02,      8.7800E+02       
9.0000E-01,      2.4000E-03,      1.0000E+00,      0.0000E+00,      1.0747E+03,      9.7667E+01,      2.0733E+02,      1.0833E+03       
9.0000E-01,      2.8000E-03,      6.6667E-01,      5.7735E-01,      8.0167E+02,      1.6600E+02,      2.0300E+02,      8.5167E+02       
9.0000E-01,      3.2000E-03,      0.0000E+00,      0.0000E+00,      7.0267E+02,      1.6933E+02,      2.1333E+02,      7.1200E+02       
9.0000E-01,      3.6000E-03,      3.3333E-01,      5.7735E-01,      7.1867E+02,      1.7100E+02,      1.9900E+02,      7.5400E+02       
