#tau,            K*,              det_rate,        thickness,       thick_stDev,     n_deaths,        n_detachments,   n_immigrations,  n_replications,  n_tau_halves     
1.0000E-02,      6.0000E-01,      2.0000E-03,      0.0000E+00,      0.0000E+00,      8.7425E+02,      2.0700E+01,      8.3745E+02,      6.0550E+01,      1.2000E+00       
2.0000E-02,      6.0000E-01,      2.0000E-03,      1.3500E+00,      3.2971E+00,      1.1957E+03,      7.3150E+01,      8.0210E+02,      5.8730E+02,      7.5000E+00       
3.0000E-02,      6.0000E-01,      2.0000E-03,      1.7000E+00,      3.4198E+00,      1.1738E+03,      8.4150E+01,      7.7640E+02,      6.2295E+02,      1.0150E+01       
4.0000E-02,      6.0000E-01,      2.0000E-03,      7.0000E-01,      2.1546E+00,      1.0202E+03,      6.1300E+01,      7.9760E+02,      3.4445E+02,      8.7500E+00       
5.0000E-02,      6.0000E-01,      2.0000E-03,      1.0000E+00,      2.7720E+00,      1.0877E+03,      9.3600E+01,      7.9370E+02,      4.7895E+02,      1.3600E+01       
6.0000E-02,      6.0000E-01,      2.0000E-03,      1.3500E+00,      3.2971E+00,      1.1162E+03,      8.1950E+01,      7.6810E+02,      5.3900E+02,      2.1300E+01       
7.0000E-02,      6.0000E-01,      2.0000E-03,      5.0000E-01,      2.0131E+00,      9.6690E+02,      7.7150E+01,      7.9685E+02,      2.9635E+02,      1.4700E+01       
8.0000E-02,      6.0000E-01,      2.0000E-03,      1.9000E+00,      3.4626E+00,      1.1902E+03,      9.5350E+01,      7.5845E+02,      6.8200E+02,      3.2450E+01       
9.0000E-02,      6.0000E-01,      2.0000E-03,      9.0000E-01,      2.4039E+00,      1.1324E+03,      7.8150E+01,      7.9065E+02,      5.0220E+02,      2.7300E+01       
1.0000E-01,      6.0000E-01,      2.0000E-03,      2.1000E+00,      3.3701E+00,      1.3059E+03,      7.6700E+01,      7.8050E+02,      7.7620E+02,      4.5050E+01       
1.1000E-01,      6.0000E-01,      2.0000E-03,      3.5500E+00,      4.3827E+00,      1.4431E+03,      6.3450E+01,      7.3825E+02,      1.0460E+03,      6.9850E+01       
1.2000E-01,      6.0000E-01,      2.0000E-03,      2.0500E+00,      3.6487E+00,      1.4028E+03,      8.0000E+01,      7.5465E+02,      8.9815E+02,      5.7050E+01       
1.3000E-01,      6.0000E-01,      2.0000E-03,      2.4500E+00,      3.6631E+00,      1.3296E+03,      6.1900E+01,      7.5720E+02,      8.3615E+02,      6.4100E+01       
1.4000E-01,      6.0000E-01,      2.0000E-03,      3.5500E+00,      4.3827E+00,      1.5715E+03,      6.4150E+01,      7.5785E+02,      1.1504E+03,      9.3000E+01       
1.5000E-01,      6.0000E-01,      2.0000E-03,      2.2000E+00,      3.7360E+00,      1.2561E+03,      4.6250E+01,      7.4925E+02,      7.3045E+02,      6.7100E+01       
1.6000E-01,      6.0000E-01,      2.0000E-03,      2.5500E+00,      3.6198E+00,      1.2954E+03,      5.0950E+01,      7.7405E+02,      7.8440E+02,      7.9400E+01       
1.7000E-01,      6.0000E-01,      2.0000E-03,      2.4000E+00,      3.9656E+00,      1.2783E+03,      3.8850E+01,      7.5075E+02,      7.5705E+02,      8.3600E+01       
1.8000E-01,      6.0000E-01,      2.0000E-03,      2.6000E+00,      3.9656E+00,      1.2894E+03,      3.6500E+01,      7.6235E+02,      7.6920E+02,      9.1750E+01       
1.9000E-01,      6.0000E-01,      2.0000E-03,      3.8500E+00,      4.3562E+00,      1.6709E+03,      5.8100E+01,      7.7515E+02,      1.2537E+03,      1.5145E+02       
2.0000E-01,      6.0000E-01,      2.0000E-03,      1.9500E+00,      2.9465E+00,      1.1953E+03,      3.7650E+01,      7.8450E+02,      6.0305E+02,      7.3600E+01       
2.1000E-01,      6.0000E-01,      2.0000E-03,      2.7000E+00,      4.0536E+00,      1.4020E+03,      3.8600E+01,      7.6320E+02,      8.9525E+02,      1.2410E+02       
2.2000E-01,      6.0000E-01,      2.0000E-03,      3.0000E+00,      3.8798E+00,      1.3988E+03,      4.4250E+01,      7.4220E+02,      9.4695E+02,      1.2445E+02       
2.3000E-01,      6.0000E-01,      2.0000E-03,      2.6000E+00,      3.8987E+00,      1.4371E+03,      3.8150E+01,      7.8120E+02,      8.9035E+02,      1.3220E+02       
2.4000E-01,      6.0000E-01,      2.0000E-03,      2.9000E+00,      3.9055E+00,      1.3751E+03,      3.6400E+01,      7.6360E+02,      8.8135E+02,      1.3910E+02       
2.5000E-01,      6.0000E-01,      2.0000E-03,      3.9000E+00,      4.0510E+00,      1.6111E+03,      3.7850E+01,      7.1915E+02,      1.2303E+03,      1.9375E+02       
2.6000E-01,      6.0000E-01,      2.0000E-03,      2.9000E+00,      4.1915E+00,      1.3181E+03,      3.2200E+01,      7.3160E+02,      8.5120E+02,      1.5145E+02       
2.7000E-01,      6.0000E-01,      2.0000E-03,      2.5000E+00,      3.4259E+00,      1.2579E+03,      3.7000E+01,      7.5240E+02,      7.3860E+02,      1.2505E+02       
2.8000E-01,      6.0000E-01,      2.0000E-03,      2.0000E+00,      3.6563E+00,      1.2669E+03,      3.8750E+01,      7.7765E+02,      6.9065E+02,      1.4245E+02       
2.9000E-01,      6.0000E-01,      2.0000E-03,      3.0500E+00,      4.1228E+00,      1.4706E+03,      5.4750E+01,      7.4320E+02,      1.0290E+03,      1.9890E+02       
3.0000E-01,      6.0000E-01,      2.0000E-03,      2.7000E+00,      4.0536E+00,      1.3351E+03,      4.8650E+01,      7.4900E+02,      8.5345E+02,      1.7145E+02       
3.1000E-01,      6.0000E-01,      2.0000E-03,      1.9500E+00,      3.6775E+00,      1.1611E+03,      4.0300E+01,      7.6380E+02,      5.9955E+02,      1.3085E+02       
3.2000E-01,      6.0000E-01,      2.0000E-03,      3.7000E+00,      4.4497E+00,      1.5010E+03,      5.1400E+01,      7.3380E+02,      1.1012E+03,      2.3750E+02       
3.3000E-01,      6.0000E-01,      2.0000E-03,      2.1000E+00,      3.7543E+00,      1.2983E+03,      4.3700E+01,      7.8050E+02,      7.2885E+02,      1.7550E+02       
3.4000E-01,      6.0000E-01,      2.0000E-03,      2.6000E+00,      4.0962E+00,      1.3189E+03,      4.1200E+01,      7.3215E+02,      8.3920E+02,      1.9815E+02       
3.5000E-01,      6.0000E-01,      2.0000E-03,      1.9000E+00,      3.2751E+00,      1.1681E+03,      3.7950E+01,      7.7065E+02,      5.7865E+02,      1.4550E+02       
3.6000E-01,      6.0000E-01,      2.0000E-03,      2.5000E+00,      3.9537E+00,      1.3434E+03,      4.3450E+01,      7.5290E+02,      8.3080E+02,      2.0725E+02       
3.7000E-01,      6.0000E-01,      2.0000E-03,      1.4500E+00,      3.0171E+00,      1.1896E+03,      4.7700E+01,      7.7385E+02,      5.8990E+02,      1.4645E+02       
3.8000E-01,      6.0000E-01,      2.0000E-03,      3.6000E+00,      4.5236E+00,      1.5769E+03,      4.7350E+01,      7.2925E+02,      1.1716E+03,      3.2015E+02       
3.9000E-01,      6.0000E-01,      2.0000E-03,      2.1500E+00,      3.6168E+00,      1.3134E+03,      3.9750E+01,      7.7520E+02,      7.6080E+02,      2.1130E+02       
4.0000E-01,      6.0000E-01,      2.0000E-03,      3.6500E+00,      4.1074E+00,      1.4697E+03,      4.1400E+01,      7.0785E+02,      1.0912E+03,      2.9425E+02       
4.1000E-01,      6.0000E-01,      2.0000E-03,      1.9500E+00,      3.3162E+00,      1.2119E+03,      3.8550E+01,      7.7885E+02,      6.1940E+02,      1.8480E+02       
